season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad
10	Alice	1	0	5.0	5	0.0	0	0.0	0	0.0	0
10	Alice	2	0	3.0	1	0.5	1	0.5	1	0.0	0
10	Alice	3	0	4.33	7	0.33	0	0.33	0	0.33	1
10	Amelia	1	0	4.0	4	0.0	0	0.0	0	0.0	0
10	Amelia	2	0	6.5	9	0.0	0	0.0	0	0.5	1
10	Amelia	3	0	8.0	11	0.33	1	0.0	0	0.33	0
10	Dan	1	13	9.0	9	0.0	0	0.0	0	1.0	1
10	Dan	2	13	4.5	0	0.0	0	0.0	0	0.5	0
10	Dan	3	13	3.0	0	0.0	0	0.0	0	0.33	0
10	David	1	0	10.0	10	0.0	0	0.0	0	0.0	0
10	David	2	0	6.0	2	0.0	0	0.5	1	0.0	0
10	David	3	0	4.67	2	0.0	0	0.33	0	0.0	0
10	Helena	1	0	12.0	12	0.0	0	0.0	0	0.0	0
10	Helena	2	0	12.0	12	0.0	0	0.0	0	0.0	0
10	Helena	3	0	10.67	8	0.0	0	0.0	0	0.0	0
10	Henry	1	0	1.0	1	0.0	0	0.0	0	0.0	0
10	Henry	2	0	3.5	6	0.0	0	0.0	0	0.0	0
10	Henry	3	0	2.67	1	0.0	0	0.0	0	0.33	1
10	Jamie	1	12	13.0	13	0.0	0	0.0	0	1.0	1
10	Jamie	2	12	12.0	11	0.0	0	0.0	0	1.0	1
10	Jamie	3	12	8.0	0	0.0	0	0.0	0	0.67	0
10	Michael	1	0	11.0	11	1.0	1	1.0	1	0.0	0
10	Michael	2	0	7.5	4	0.5	0	0.5	0	0.0	0
10	Michael	3	0	7.0	6	0.67	1	0.67	1	0.0	0
10	Michelle	1	0	6.0	6	0.0	0	0.0	0	0.0	0
10	Michelle	2	0	7.0	8	0.0	0	0.0	0	0.0	0
10	Michelle	3	0	6.33	5	0.0	0	0.0	0	0.0	0
10	Phil	1	0	8.0	8	0.0	0	0.0	0	0.0	0
10	Phil	2	0	5.5	3	0.0	0	0.0	0	0.0	0
10	Phil	3	0	7.0	10	0.0	0	0.0	0	0.0	0
10	Priya	1	0	7.0	7	0.0	0	0.0	0	0.0	0
10	Priya	2	0	7.0	7	0.0	0	0.0	0	0.0	0
10	Priya	3	0	6.0	4	0.0	0	0.0	0	0.0	0
10	Rosie	1	0	2.0	2	0.0	0	1.0	1	0.0	0
10	Rosie	2	0	3.5	5	0.0	0	0.5	0	0.0	0
10	Rosie	3	0	5.33	9	0.0	0	0.33	0	0.0	0
10	Steph	1	11	3.0	3	0.0	0	1.0	1	0.0	0
10	Steph	2	11	6.5	10	0.0	0	0.5	0	0.0	0
10	Steph	3	11	5.33	3	0.0	0	0.67	1	0.0	0
